Training: 2023-05-04 13:56:23,311-rank_id: 0
Training: 2023-05-04 15:23:37,114-Speed 3888.99 samples/sec  Loss 2.1191  LearningRate 0.1602  ProxyLR: 8.0085  Epoch: 2  Global Step: 14940   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:23:39,747-Speed 3890.92 samples/sec  Loss 2.1170  LearningRate 0.1601  ProxyLR: 8.0072  Epoch: 2  Global Step: 14950   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:23:42,380-Speed 3888.90 samples/sec  Loss 2.0083  LearningRate 0.1601  ProxyLR: 8.0059  Epoch: 2  Global Step: 14960   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:23:45,012-Speed 3891.84 samples/sec  Loss 2.0144  LearningRate 0.1601  ProxyLR: 8.0047  Epoch: 2  Global Step: 14970   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:23:47,641-Speed 3896.09 samples/sec  Loss 2.0403  LearningRate 0.1601  ProxyLR: 8.0034  Epoch: 2  Global Step: 14980   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:23:50,270-Speed 3895.84 samples/sec  Loss 1.9581  LearningRate 0.1600  ProxyLR: 8.0022  Epoch: 2  Global Step: 14990   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:23:52,900-Speed 3895.12 samples/sec  Loss 2.0249  LearningRate 0.1600  ProxyLR: 8.0009  Epoch: 2  Global Step: 15000   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:23:55,519-Speed 3911.43 samples/sec  Loss 2.1487  LearningRate 0.1600  ProxyLR: 7.9996  Epoch: 2  Global Step: 15010   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:23:58,149-Speed 3894.16 samples/sec  Loss 2.1571  LearningRate 0.1600  ProxyLR: 7.9984  Epoch: 2  Global Step: 15020   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:00,779-Speed 3894.53 samples/sec  Loss 2.1809  LearningRate 0.1599  ProxyLR: 7.9971  Epoch: 2  Global Step: 15030   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:03,408-Speed 3896.50 samples/sec  Loss 2.0353  LearningRate 0.1599  ProxyLR: 7.9959  Epoch: 2  Global Step: 15040   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:06,036-Speed 3896.52 samples/sec  Loss 2.1667  LearningRate 0.1599  ProxyLR: 7.9946  Epoch: 2  Global Step: 15050   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:08,668-Speed 3892.57 samples/sec  Loss 2.1098  LearningRate 0.1599  ProxyLR: 7.9934  Epoch: 2  Global Step: 15060   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:11,298-Speed 3893.86 samples/sec  Loss 1.9068  LearningRate 0.1598  ProxyLR: 7.9921  Epoch: 2  Global Step: 15070   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:13,930-Speed 3891.45 samples/sec  Loss 1.9360  LearningRate 0.1598  ProxyLR: 7.9908  Epoch: 2  Global Step: 15080   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:16,560-Speed 3894.51 samples/sec  Loss 1.9961  LearningRate 0.1598  ProxyLR: 7.9896  Epoch: 2  Global Step: 15090   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:19,191-Speed 3892.74 samples/sec  Loss 1.9010  LearningRate 0.1598  ProxyLR: 7.9883  Epoch: 2  Global Step: 15100   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:21,821-Speed 3895.34 samples/sec  Loss 1.9595  LearningRate 0.1597  ProxyLR: 7.9871  Epoch: 2  Global Step: 15110   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:24:24,437-Speed 3914.26 samples/sec  Loss 1.9960  LearningRate 0.1597  ProxyLR: 7.9858  Epoch: 2  Global Step: 15120   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:27,066-Speed 3895.81 samples/sec  Loss 2.0191  LearningRate 0.1597  ProxyLR: 7.9846  Epoch: 2  Global Step: 15130   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:29,697-Speed 3893.22 samples/sec  Loss 1.9120  LearningRate 0.1597  ProxyLR: 7.9833  Epoch: 2  Global Step: 15140   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:32,328-Speed 3893.71 samples/sec  Loss 2.2238  LearningRate 0.1596  ProxyLR: 7.9820  Epoch: 2  Global Step: 15150   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:34,958-Speed 3894.79 samples/sec  Loss 2.0757  LearningRate 0.1596  ProxyLR: 7.9808  Epoch: 2  Global Step: 15160   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:37,589-Speed 3892.56 samples/sec  Loss 1.9972  LearningRate 0.1596  ProxyLR: 7.9795  Epoch: 2  Global Step: 15170   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:40,219-Speed 3894.71 samples/sec  Loss 1.8763  LearningRate 0.1596  ProxyLR: 7.9783  Epoch: 2  Global Step: 15180   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:42,849-Speed 3894.84 samples/sec  Loss 2.2100  LearningRate 0.1595  ProxyLR: 7.9770  Epoch: 2  Global Step: 15190   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:45,479-Speed 3893.64 samples/sec  Loss 2.2947  LearningRate 0.1595  ProxyLR: 7.9758  Epoch: 2  Global Step: 15200   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:48,109-Speed 3895.32 samples/sec  Loss 2.0524  LearningRate 0.1595  ProxyLR: 7.9745  Epoch: 2  Global Step: 15210   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:24:50,738-Speed 3896.05 samples/sec  Loss 1.9194  LearningRate 0.1595  ProxyLR: 7.9732  Epoch: 2  Global Step: 15220   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:24:53,367-Speed 3895.46 samples/sec  Loss 1.9643  LearningRate 0.1594  ProxyLR: 7.9720  Epoch: 2  Global Step: 15230   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:24:55,997-Speed 3894.61 samples/sec  Loss 2.1264  LearningRate 0.1594  ProxyLR: 7.9707  Epoch: 2  Global Step: 15240   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:24:58,627-Speed 3893.53 samples/sec  Loss 2.0250  LearningRate 0.1594  ProxyLR: 7.9695  Epoch: 2  Global Step: 15250   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:25:01,256-Speed 3895.90 samples/sec  Loss 1.8826  LearningRate 0.1594  ProxyLR: 7.9682  Epoch: 2  Global Step: 15260   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:25:03,889-Speed 3891.11 samples/sec  Loss 1.9241  LearningRate 0.1593  ProxyLR: 7.9670  Epoch: 2  Global Step: 15270   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:25:06,507-Speed 3911.96 samples/sec  Loss 2.0909  LearningRate 0.1593  ProxyLR: 7.9657  Epoch: 2  Global Step: 15280   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:25:09,139-Speed 3890.95 samples/sec  Loss 2.0491  LearningRate 0.1593  ProxyLR: 7.9644  Epoch: 2  Global Step: 15290   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:25:11,772-Speed 3890.06 samples/sec  Loss 2.0169  LearningRate 0.1593  ProxyLR: 7.9632  Epoch: 2  Global Step: 15300   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:25:14,407-Speed 3887.48 samples/sec  Loss 2.0811  LearningRate 0.1592  ProxyLR: 7.9619  Epoch: 2  Global Step: 15310   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:25:17,041-Speed 3888.15 samples/sec  Loss 2.0801  LearningRate 0.1592  ProxyLR: 7.9607  Epoch: 2  Global Step: 15320   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:25:19,675-Speed 3889.65 samples/sec  Loss 2.0106  LearningRate 0.1592  ProxyLR: 7.9594  Epoch: 2  Global Step: 15330   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:25:22,307-Speed 3890.77 samples/sec  Loss 2.0700  LearningRate 0.1592  ProxyLR: 7.9582  Epoch: 2  Global Step: 15340   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:25:24,940-Speed 3890.24 samples/sec  Loss 2.0357  LearningRate 0.1591  ProxyLR: 7.9569  Epoch: 2  Global Step: 15350   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:25:27,575-Speed 3888.02 samples/sec  Loss 2.0396  LearningRate 0.1591  ProxyLR: 7.9557  Epoch: 2  Global Step: 15360   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:25:30,207-Speed 3890.27 samples/sec  Loss 2.2449  LearningRate 0.1591  ProxyLR: 7.9544  Epoch: 2  Global Step: 15370   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:25:32,840-Speed 3891.01 samples/sec  Loss 2.0556  LearningRate 0.1591  ProxyLR: 7.9532  Epoch: 2  Global Step: 15380   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:25:35,471-Speed 3892.11 samples/sec  Loss 1.9899  LearningRate 0.1590  ProxyLR: 7.9519  Epoch: 2  Global Step: 15390   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:25:38,105-Speed 3888.91 samples/sec  Loss 2.0421  LearningRate 0.1590  ProxyLR: 7.9506  Epoch: 2  Global Step: 15400   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:25:40,740-Speed 3887.61 samples/sec  Loss 2.2513  LearningRate 0.1590  ProxyLR: 7.9494  Epoch: 2  Global Step: 15410   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:25:43,374-Speed 3888.41 samples/sec  Loss 2.1266  LearningRate 0.1590  ProxyLR: 7.9481  Epoch: 2  Global Step: 15420   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:25:46,008-Speed 3887.84 samples/sec  Loss 2.0123  LearningRate 0.1589  ProxyLR: 7.9469  Epoch: 2  Global Step: 15430   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:25:48,641-Speed 3890.85 samples/sec  Loss 2.0379  LearningRate 0.1589  ProxyLR: 7.9456  Epoch: 2  Global Step: 15440   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:25:51,275-Speed 3887.62 samples/sec  Loss 1.9985  LearningRate 0.1589  ProxyLR: 7.9444  Epoch: 2  Global Step: 15450   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:25:53,909-Speed 3889.78 samples/sec  Loss 2.0355  LearningRate 0.1589  ProxyLR: 7.9431  Epoch: 2  Global Step: 15460   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:25:56,541-Speed 3890.64 samples/sec  Loss 2.0259  LearningRate 0.1588  ProxyLR: 7.9419  Epoch: 2  Global Step: 15470   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:25:59,160-Speed 3911.36 samples/sec  Loss 2.0024  LearningRate 0.1588  ProxyLR: 7.9406  Epoch: 2  Global Step: 15480   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:26:01,792-Speed 3890.99 samples/sec  Loss 2.0553  LearningRate 0.1588  ProxyLR: 7.9394  Epoch: 2  Global Step: 15490   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:26:04,424-Speed 3891.35 samples/sec  Loss 2.0472  LearningRate 0.1588  ProxyLR: 7.9381  Epoch: 2  Global Step: 15500   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:26:07,043-Speed 3911.70 samples/sec  Loss 2.0968  LearningRate 0.1587  ProxyLR: 7.9368  Epoch: 2  Global Step: 15510   Fp16 Grad Scale: 131072  Required: 10 hours
Training: 2023-05-04 15:26:09,675-Speed 3891.98 samples/sec  Loss 2.2256  LearningRate 0.1587  ProxyLR: 7.9356  Epoch: 2  Global Step: 15520   Fp16 Grad Scale: 131072  Required: 10 hours
Training: 2023-05-04 15:26:12,309-Speed 3888.65 samples/sec  Loss 2.0905  LearningRate 0.1587  ProxyLR: 7.9343  Epoch: 2  Global Step: 15530   Fp16 Grad Scale: 131072  Required: 10 hours
Training: 2023-05-04 15:26:14,940-Speed 3892.20 samples/sec  Loss 2.0424  LearningRate 0.1587  ProxyLR: 7.9331  Epoch: 2  Global Step: 15540   Fp16 Grad Scale: 131072  Required: 10 hours
Training: 2023-05-04 15:26:17,575-Speed 3887.06 samples/sec  Loss 2.0354  LearningRate 0.1586  ProxyLR: 7.9318  Epoch: 2  Global Step: 15550   Fp16 Grad Scale: 131072  Required: 10 hours
Training: 2023-05-04 15:26:20,211-Speed 3886.41 samples/sec  Loss 1.9692  LearningRate 0.1586  ProxyLR: 7.9306  Epoch: 2  Global Step: 15560   Fp16 Grad Scale: 131072  Required: 10 hours
Training: 2023-05-04 15:26:22,845-Speed 3888.59 samples/sec  Loss 1.8702  LearningRate 0.1586  ProxyLR: 7.9293  Epoch: 2  Global Step: 15570   Fp16 Grad Scale: 131072  Required: 10 hours
Training: 2023-05-04 15:26:25,482-Speed 3884.55 samples/sec  Loss 2.0275  LearningRate 0.1586  ProxyLR: 7.9281  Epoch: 2  Global Step: 15580   Fp16 Grad Scale: 131072  Required: 10 hours
Training: 2023-05-04 15:26:28,118-Speed 3885.82 samples/sec  Loss 2.0070  LearningRate 0.1585  ProxyLR: 7.9268  Epoch: 2  Global Step: 15590   Fp16 Grad Scale: 131072  Required: 10 hours
Training: 2023-05-04 15:26:30,753-Speed 3886.02 samples/sec  Loss 2.1027  LearningRate 0.1585  ProxyLR: 7.9256  Epoch: 2  Global Step: 15600   Fp16 Grad Scale: 131072  Required: 10 hours
Training: 2023-05-04 15:26:33,393-Speed 3880.76 samples/sec  Loss 2.0679  LearningRate 0.1585  ProxyLR: 7.9243  Epoch: 2  Global Step: 15610   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:26:36,030-Speed 3883.13 samples/sec  Loss 1.9694  LearningRate 0.1585  ProxyLR: 7.9231  Epoch: 2  Global Step: 15620   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:26:38,668-Speed 3882.25 samples/sec  Loss 1.9753  LearningRate 0.1584  ProxyLR: 7.9218  Epoch: 2  Global Step: 15630   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:26:41,308-Speed 3880.97 samples/sec  Loss 1.9999  LearningRate 0.1584  ProxyLR: 7.9206  Epoch: 2  Global Step: 15640   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:26:43,945-Speed 3882.80 samples/sec  Loss 1.9074  LearningRate 0.1584  ProxyLR: 7.9193  Epoch: 2  Global Step: 15650   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:26:46,579-Speed 3889.39 samples/sec  Loss 1.9306  LearningRate 0.1584  ProxyLR: 7.9181  Epoch: 2  Global Step: 15660   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:26:49,212-Speed 3890.69 samples/sec  Loss 1.9300  LearningRate 0.1583  ProxyLR: 7.9168  Epoch: 2  Global Step: 15670   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:26:51,845-Speed 3889.61 samples/sec  Loss 2.1061  LearningRate 0.1583  ProxyLR: 7.9156  Epoch: 2  Global Step: 15680   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:26:54,477-Speed 3891.54 samples/sec  Loss 2.2259  LearningRate 0.1583  ProxyLR: 7.9143  Epoch: 2  Global Step: 15690   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:26:57,112-Speed 3887.27 samples/sec  Loss 2.1788  LearningRate 0.1583  ProxyLR: 7.9131  Epoch: 2  Global Step: 15700   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:26:59,745-Speed 3888.82 samples/sec  Loss 2.0953  LearningRate 0.1582  ProxyLR: 7.9118  Epoch: 2  Global Step: 15710   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:27:02,367-Speed 3908.02 samples/sec  Loss 2.0233  LearningRate 0.1582  ProxyLR: 7.9105  Epoch: 2  Global Step: 15720   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:04,999-Speed 3891.75 samples/sec  Loss 2.0533  LearningRate 0.1582  ProxyLR: 7.9093  Epoch: 2  Global Step: 15730   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:07,633-Speed 3888.56 samples/sec  Loss 1.8330  LearningRate 0.1582  ProxyLR: 7.9080  Epoch: 2  Global Step: 15740   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:10,269-Speed 3885.05 samples/sec  Loss 2.1502  LearningRate 0.1581  ProxyLR: 7.9068  Epoch: 2  Global Step: 15750   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:12,899-Speed 3894.36 samples/sec  Loss 2.0286  LearningRate 0.1581  ProxyLR: 7.9055  Epoch: 2  Global Step: 15760   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:15,529-Speed 3894.39 samples/sec  Loss 2.0485  LearningRate 0.1581  ProxyLR: 7.9043  Epoch: 2  Global Step: 15770   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:18,159-Speed 3894.26 samples/sec  Loss 2.1825  LearningRate 0.1581  ProxyLR: 7.9030  Epoch: 2  Global Step: 15780   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:20,792-Speed 3890.67 samples/sec  Loss 2.0475  LearningRate 0.1580  ProxyLR: 7.9018  Epoch: 2  Global Step: 15790   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:23,423-Speed 3893.12 samples/sec  Loss 1.9159  LearningRate 0.1580  ProxyLR: 7.9005  Epoch: 2  Global Step: 15800   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:26,053-Speed 3894.35 samples/sec  Loss 1.9763  LearningRate 0.1580  ProxyLR: 7.8993  Epoch: 2  Global Step: 15810   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:28,685-Speed 3891.75 samples/sec  Loss 2.1617  LearningRate 0.1580  ProxyLR: 7.8980  Epoch: 2  Global Step: 15820   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:27:31,317-Speed 3891.02 samples/sec  Loss 2.0538  LearningRate 0.1579  ProxyLR: 7.8968  Epoch: 2  Global Step: 15830   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:27:33,948-Speed 3893.86 samples/sec  Loss 2.1110  LearningRate 0.1579  ProxyLR: 7.8955  Epoch: 2  Global Step: 15840   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:27:36,566-Speed 3911.74 samples/sec  Loss 2.0512  LearningRate 0.1579  ProxyLR: 7.8943  Epoch: 2  Global Step: 15850   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:39,196-Speed 3893.73 samples/sec  Loss 2.0391  LearningRate 0.1579  ProxyLR: 7.8930  Epoch: 2  Global Step: 15860   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:41,827-Speed 3893.85 samples/sec  Loss 2.0503  LearningRate 0.1578  ProxyLR: 7.8918  Epoch: 2  Global Step: 15870   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:44,457-Speed 3894.09 samples/sec  Loss 2.0999  LearningRate 0.1578  ProxyLR: 7.8905  Epoch: 2  Global Step: 15880   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:47,087-Speed 3894.27 samples/sec  Loss 1.8916  LearningRate 0.1578  ProxyLR: 7.8893  Epoch: 2  Global Step: 15890   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:49,718-Speed 3893.67 samples/sec  Loss 1.9586  LearningRate 0.1578  ProxyLR: 7.8880  Epoch: 2  Global Step: 15900   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:52,349-Speed 3892.34 samples/sec  Loss 1.9904  LearningRate 0.1577  ProxyLR: 7.8868  Epoch: 2  Global Step: 15910   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:54,980-Speed 3893.72 samples/sec  Loss 2.0292  LearningRate 0.1577  ProxyLR: 7.8855  Epoch: 2  Global Step: 15920   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:27:57,612-Speed 3891.37 samples/sec  Loss 1.9656  LearningRate 0.1577  ProxyLR: 7.8843  Epoch: 2  Global Step: 15930   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:28:00,241-Speed 3895.68 samples/sec  Loss 2.1263  LearningRate 0.1577  ProxyLR: 7.8830  Epoch: 2  Global Step: 15940   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:28:02,873-Speed 3891.61 samples/sec  Loss 2.1197  LearningRate 0.1576  ProxyLR: 7.8818  Epoch: 2  Global Step: 15950   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:28:05,504-Speed 3893.00 samples/sec  Loss 2.0180  LearningRate 0.1576  ProxyLR: 7.8805  Epoch: 2  Global Step: 15960   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:28:08,136-Speed 3892.28 samples/sec  Loss 1.9757  LearningRate 0.1576  ProxyLR: 7.8793  Epoch: 2  Global Step: 15970   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:28:10,754-Speed 3911.93 samples/sec  Loss 2.0982  LearningRate 0.1576  ProxyLR: 7.8780  Epoch: 2  Global Step: 15980   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:28:13,384-Speed 3893.63 samples/sec  Loss 1.9996  LearningRate 0.1575  ProxyLR: 7.8768  Epoch: 2  Global Step: 15990   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:28:16,015-Speed 3893.33 samples/sec  Loss 2.0664  LearningRate 0.1575  ProxyLR: 7.8755  Epoch: 2  Global Step: 16000   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:28:18,646-Speed 3893.62 samples/sec  Loss 2.1787  LearningRate 0.1575  ProxyLR: 7.8743  Epoch: 2  Global Step: 16010   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:28:21,289-Speed 3875.05 samples/sec  Loss 2.1320  LearningRate 0.1575  ProxyLR: 7.8731  Epoch: 2  Global Step: 16020   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:28:23,928-Speed 3880.38 samples/sec  Loss 2.0371  LearningRate 0.1574  ProxyLR: 7.8718  Epoch: 2  Global Step: 16030   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:28:26,567-Speed 3882.20 samples/sec  Loss 2.1077  LearningRate 0.1574  ProxyLR: 7.8706  Epoch: 2  Global Step: 16040   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:28:29,205-Speed 3882.09 samples/sec  Loss 2.0448  LearningRate 0.1574  ProxyLR: 7.8693  Epoch: 2  Global Step: 16050   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:28:31,844-Speed 3881.43 samples/sec  Loss 2.1030  LearningRate 0.1574  ProxyLR: 7.8681  Epoch: 2  Global Step: 16060   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:28:34,483-Speed 3880.81 samples/sec  Loss 2.0169  LearningRate 0.1573  ProxyLR: 7.8668  Epoch: 2  Global Step: 16070   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:28:37,121-Speed 3882.91 samples/sec  Loss 2.0686  LearningRate 0.1573  ProxyLR: 7.8656  Epoch: 2  Global Step: 16080   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:28:39,761-Speed 3879.43 samples/sec  Loss 2.0056  LearningRate 0.1573  ProxyLR: 7.8643  Epoch: 2  Global Step: 16090   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:28:42,400-Speed 3881.64 samples/sec  Loss 2.0999  LearningRate 0.1573  ProxyLR: 7.8631  Epoch: 2  Global Step: 16100   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:28:45,040-Speed 3879.81 samples/sec  Loss 2.0293  LearningRate 0.1572  ProxyLR: 7.8618  Epoch: 2  Global Step: 16110   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:28:47,680-Speed 3879.45 samples/sec  Loss 2.0111  LearningRate 0.1572  ProxyLR: 7.8606  Epoch: 2  Global Step: 16120   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:28:50,320-Speed 3879.43 samples/sec  Loss 2.1160  LearningRate 0.1572  ProxyLR: 7.8593  Epoch: 2  Global Step: 16130   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:28:52,961-Speed 3879.02 samples/sec  Loss 1.8548  LearningRate 0.1572  ProxyLR: 7.8581  Epoch: 2  Global Step: 16140   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:28:55,599-Speed 3882.55 samples/sec  Loss 2.1997  LearningRate 0.1571  ProxyLR: 7.8568  Epoch: 2  Global Step: 16150   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:28:58,239-Speed 3880.20 samples/sec  Loss 2.1381  LearningRate 0.1571  ProxyLR: 7.8556  Epoch: 2  Global Step: 16160   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:29:00,878-Speed 3880.36 samples/sec  Loss 2.0744  LearningRate 0.1571  ProxyLR: 7.8543  Epoch: 2  Global Step: 16170   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:29:03,503-Speed 3902.20 samples/sec  Loss 1.9294  LearningRate 0.1571  ProxyLR: 7.8531  Epoch: 2  Global Step: 16180   Fp16 Grad Scale: 524288  Required: 10 hours
Training: 2023-05-04 15:29:06,129-Speed 3899.66 samples/sec  Loss 2.2422  LearningRate 0.1570  ProxyLR: 7.8518  Epoch: 2  Global Step: 16190   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:29:08,769-Speed 3880.19 samples/sec  Loss 2.0587  LearningRate 0.1570  ProxyLR: 7.8506  Epoch: 2  Global Step: 16200   Fp16 Grad Scale: 262144  Required: 10 hours
Training: 2023-05-04 15:29:11,409-Speed 3879.73 samples/sec  Loss 2.1313  LearningRate 0.1570  ProxyLR: 7.8493  Epoch: 2  Global Step: 16210   Fp16 Grad Scale: 262144  Required: 10 hours
